sample	samples	chr8:128220111-128221962:-	cancer type abbreviation
TCGA-A6-2675-01	TCGA-A6-2675-01	3.002	COAD
TCGA-BA-A6DI-01	TCGA-BA-A6DI-01	3	HNSC
TCGA-66-2788-01	TCGA-66-2788-01	2.999	LUSC
TCGA-BR-8286-01	TCGA-BR-8286-01	2.997	STAD
TCGA-F2-6879-01	TCGA-F2-6879-01	2.994	PAAD
TCGA-DQ-5629-01	TCGA-DQ-5629-01	2.991	HNSC
TCGA-66-2795-01	TCGA-66-2795-01	2.989	LUSC
TCGA-CX-7082-01	TCGA-CX-7082-01	2.989	HNSC
TCGA-D6-6826-01	TCGA-D6-6826-01	2.987	HNSC
TCGA-CA-6716-01	TCGA-CA-6716-01	2.987	COAD
TCGA-KB-A6F7-01	TCGA-KB-A6F7-01	2.982	STAD
TCGA-BR-8679-01	TCGA-BR-8679-01	2.976	STAD
TCGA-2H-A9GK-01	TCGA-2H-A9GK-01	2.975	ESCA
TCGA-AF-2690-01	TCGA-AF-2690-01	2.973	READ
TCGA-63-A5M9-01	TCGA-63-A5M9-01	2.972	LUSC
TCGA-DC-6157-01	TCGA-DC-6157-01	2.97	READ
TCGA-85-7698-01	TCGA-85-7698-01	2.968	LUSC
TCGA-RD-A7C1-01	TCGA-RD-A7C1-01	2.967	STAD
TCGA-AF-5654-01	TCGA-AF-5654-01	2.966	READ
TCGA-HF-7136-01	TCGA-HF-7136-01	2.964	STAD
TCGA-CN-A641-01	TCGA-CN-A641-01	2.963	HNSC
TCGA-51-4080-01	TCGA-51-4080-01	2.958	LUSC
TCGA-A6-5667-01	TCGA-A6-5667-01	2.947	COAD
TCGA-NC-A5HD-01	TCGA-NC-A5HD-01	2.946	LUSC
